Change,Description,Date
Updated resource,The following resource was updated: AWS::SSM::ResourceDataSync AWS::SSM::ResourceDataSync Use the SyncType property with SyncFromSource to synchronize Systems Manager Explorer OpsItems and OpsData from AWS Organizations or from multiple AWS Regions.,"January 16, 2020"
Updated resources,"The following resources were updated: AWS::MSK::Cluster, AWS::RDS::DBInstance, and AWS::SSM::Document AWS::MSK::Cluster Use the OpenMonitoring property to enable monitoring with Prometheus, an open-source monitoring system for time-series metric data. You can also use tools that are compatible with Prometheus-formatted metrics or tools that integrate with Amazon MSK Open Monitoring. AWS::SSM::Document Use the Name property to specify a name for the Systems Manager document. AWS::RDS::DBInstance Use the MaxAllocatedStorage property to specify the upper limit to which Amazon RDS can automatically scale the storage of the DB instance.","December 20, 2019"
New resource,"The following resource was added: AWS::CodeBuild::ReportGroup AWS::CodeBuild::ReportGroup Use the AWS::CodeBuild::ReportGroup resource to specify information about a report group. When you specify a report group in a CodeBuild project, a build of the project creates reports in the report group that contain results from running test cases.","December 20, 2019"
New resource,The following resource was added: AWS::EC2::GatewayRouteTableAssociation. AWS::EC2::GatewayRouteTableAssociation Use the AWS::EC2::GatewayRouteTableAssociation property to associate a virtual private gateway or internet gateway with a route table.,"December 20, 2019"
Updated resources,The following resource was updated: AWS::RDS::DBInstance. AWS::RDS::DBInstance Use the MaxAllocatedStorage property to specify the upper limit to which Amazon RDS can automatically scale the storage of the DB instance.,"December 19, 2019"
Updated resource,The following resource was updated: AWS::FSx::FileSystem AWS::FSx::FileSystem In the WindowsConfiguration property type:  Use the DeploymentType property to specify the Amazon FSx Windows file system deployment type.   Use the PreferredSubnetId property to specify the subnet in which you want the preferred file server to be located for a MULTI_AZ_1 Amazon FSx for Windows file system deployment type.,"December 19, 2019"
Updated resource,The following resource was updated: AWS::FSx::FileSystem AWS::FSx::FileSystem In the WindowsConfiguration property type:  Use the DeploymentType property to specify the file system deployment type.   Use the PreferredSubnetId property to specify the subnet in which you want the preferred file server to be located.,"December 19, 2019"
New resource,The following resource was added: AWS::EC2::GatewayRouteTableAssociation. AWS::EC2::GatewayRouteTableAssociation Use the AWS::EC2::GatewayRouteTableAssociation property to associate a virtual private gateway or internet gateway with a route table.,"December 19, 2019"
Updated resource,"The following resource was updated: AWS::EC2::Instance. AWS::EC2::Instance In the ElasticInferenceAccelerator property type, use the Count property to specify the number of elastic inference accelerators to attach to the instance.","December 12, 2019"
New resource,"The following resource was added: AWS::CodeBuild::ReportGroup AWS::CodeBuild::ReportGroup Use the AWS::CodeBuild::ReportGroup resource to specify information about a report group. When you specify a report group in a CodeBuild project, a build of the project creates reports in the report group that contain results from running test cases.","December 12, 2019"
Updated resources,"The following resources were updated: AWS::ApiGatewayV2::Api, AWS::ApiGatewayV2::Authorizer, AWS::ApiGatewayV2::Integration, AWS::ApiGatewayV2::Stage. AWS::ApiGatewayV2::Api Use the AWS::ApiGatewayV2::Api resource to create an HTTP API (beta). AWS::ApiGatewayV2::Authorizer Use the AWS::ApiGatewayV2::Authorizer resource to create a JWT authorizer for an HTTP API (beta). AWS::ApiGatewayV2::Integration Use the AWS::ApiGatewayV2::Integration resource to create an integration for an HTTP API (beta). AWS::ApiGatewayV2::Stage Use the AWS::ApiGatewayV2::Stage resource to create a stage for an HTTP API (beta).","December 4, 2019"
Updated resources,The following resources were updated: AWS::Lambda::Alias and AWS::Lambda::Version. AWS::Lambda::Alias Use the ProvisionedConcurrencyConfiguration property to specify a provisioned concurrency configuration for a function's alias. AWS::Lambda::Version Use the ProvisionedConcurrencyConfiguration property to specify a provisioned concurrency configuration for a function's version.,"December 3, 2019"
Updated resource,"The following resource was updated: AWS::StepFunctions::StateMachine. AWS::StepFunctions::StateMachineThe AWS::StepFunctions::StateMachine now supports Express workflows using the new StateMachineType parameter. You can also configure CloudWatch Logging information for Express workflows using LoggingConfiguration, LogDestination, and CloudWatchLogsLogGroup.","December 3, 2019"
New resource,The following resource was added: AWS::S3::AccessPoint Access Points Use the AWS::S3::AccessPoint resource to specify an S3 access point.,"December 3, 2019"
New resource,The following resource was added: AWS::AccessAnalyzer::Analyzer AWS::AccessAnalyzer::Analyzer Use the AWS::AccessAnalyzer::Analyzer resource to create an analyzer for IAM Access Analyzer.,"December 2, 2019"
New resource,"The following resources were added: AWS::EventSchemas::Discoverer, AWS::EventSchemas::Registry, and AWS::EventSchemas::Schema. AWS::EventSchemas::Discoverer Use the AWS::EventSchemas::Discoverer resource to specify a discoverer that is associated with an event bus. A discoverer allows the Amazon EventBridge Schema Registry to automatically generate schemas based on events on an event bus. AWS::EventSchemas::Registry Use the AWS::EventSchemas::Registry to specify a schema registry. Schema registries are containers for Schemas. Registries collect and organize schemas so that your schemas are in logical groups. AWS::EventSchemas::Schema Use the AWS::EventSchemas::Schema resource to specify an event schema.","December 1, 2019"
New resource,The following resource was added: AWS::Lambda::EventInvokeConfig AWS::Lambda::EventInvokeConfig Use the EventInvokeConfig resource to configure destinations and error handling for asynchronous invocation.,"November 26, 2019"
Updated resource,"The following resource was updated: AWS::CloudWatch::Alarm. AWS::CloudWatch::Alarm In the MetricDataQuery property type, use the Period property to specify the granularity, in seconds, of the returned data points.","November 25, 2019"
Updated resource,"The following resource was updated: AWS::CodePipeline::Pipeline. AWS::CodePipeline::Pipeline In the ActionDeclaration property type, use the Namespace property to specify the variable namespace associated with the action. All variables produced as output by this action fall under this namespace.","November 25, 2019"
Updated resource,"The following resource was updated: AWS::Lambda::EventSourceMapping. AWS::Lambda::EventSourceMappingFor stream sources (DynamoDB and Kinesis), use the BisectBatchOnFunctionError property to split the batch in two and retry if the function returns an error. For stream sources (DynamoDB and Kinesis), use the DestinationConfig property to specify an Amazon SQS queue or Amazon SNS topic destination for discarded records. For stream sources (DynamoDB and Kinesis), use the MaximumRecordAgeInSeconds property to specify the maximum age of a record that Lambda sends to a function for processing. For stream sources (DynamoDB and Kinesis), use the MaximumRetryAttempts property to specify the maximum number of times to retry when the function returns an error. For stream sources (DynamoDB and Kinesis), use the ParallelizationFactor property to specify the number of batches to process from each shard concurrently.","November 25, 2019"
Updated resource,"The following resource was updated: AWS::CloudWatch::Alarm. AWS::CloudWatch::Alarm In the MetricDataQuery property type, use the Period property to specify the granularity, in seconds, of the returned data points.","November 25, 2019"
New resources,"The following resources were added: AWS::ECS::PrimaryTaskSet, AWS::ECS::TaskSet. AWS::ECS::PrimaryTaskSet Use the AWS::ECS::PrimaryTaskSet resource to specify which task set in a service is the primary task set. Any parameters that are updated on the primary task set in a service will transition to the service. This is used when a service uses the EXTERNAL deployment controller type. AWS::ECS::TaskSet Use the AWS::ECS::TaskSet resource to create a task set in the specified cluster and service. This is used when a service uses the EXTERNAL deployment controller type.","November 25, 2019"
New resource,"The following resource was added: AWS::CloudWatch::InsightRule. AWS::CloudWatch::InsightRule Use the AWS::CloudWatch::InsightRule property to create a Contributor Insights rule. Rules evaluate log events in a CloudWatch Logs log group, enabling you to find contributor data for the log events in that log group.","November 25, 2019"
New resource,"The following resource was added: AWS WAFv2 AWS WAFv2This is the latest version of AWS WAF, a web application firewall that lets you monitor HTTP(S) requests that are forwarded to an Amazon API Gateway REST API, Amazon CloudFront, Application Load Balancer, or an AWS AppSync GraphQL API. AWS WAF also lets you control access to your content.","November 25, 2019"
